,amount_transactions,number_transactions,breakdown
207,2510568.34,1.0,Millions
208,2499961.0,3.0,Millions
209,2814980.0,2.0,Millions
210,2860562.43,1.0,Millions
211,3999629.79,3.0,Millions
212,4920748.22,1.0,Millions
213,8904547.49,1.0,Millions
214,3000000.0,1.0,Millions
215,6000000.0,1.0,Millions
216,51117520.0,3.0,Millions
217,68700000.0,7.0,Millions
218,76288169.0,5.0,Millions
219,5084496.08,9.0,Millions
220,6575259.0,3.0,Millions
221,14634005.0,6.0,Millions
222,29062740.0,10.0,Millions
223,16190000.0,6.0,Millions
224,3179386.3,17.0,Millions
225,3200000.0,1.0,Millions
226,3450000.0,6.0,Millions
227,4347170.88,57.0,Millions
228,5800000.0,1.0,Millions
229,7615000.0,5.0,Millions
230,8691138.52,5.0,Millions
231,10000000.0,1.0,Millions
232,10000000.0,1.0,Millions
233,3250000.0,4.0,Millions
234,1190000.0,1.0,Millions
235,1507007.31,7.0,Millions
236,1541912.9,6.0,Millions
237,1549402.5,9.0,Millions
238,1673339.38,1.0,Millions
239,1820895.54,7.0,Millions
240,2345700.0,1.0,Millions
241,3551414.54,7.0,Millions
242,7065572.0,39.0,Millions
243,1262566.75,7.0,Millions
244,7896772.43,35.0,Millions
245,1706554.16,4.0,Millions
246,2000000.0,1.0,Millions
247,2774000.0,4.0,Millions
248,3000000.0,1.0,Millions
249,3800000.0,2.0,Millions
250,4814000.0,10.0,Millions
251,5250000.0,1.0,Millions
252,10000000.0,1.0,Millions
253,4625929.64,4.0,Millions
254,5950260.0,9.0,Millions
255,1342831.2,15.0,Millions
256,1899974.0,2.0,Millions
257,1580565.0,1.0,Millions
258,1739839.39,1.0,Millions
259,1969800.0,5.0,Millions
260,1999947.0,1.0,Millions
261,2013955.0,1.0,Millions
262,2399930.0,2.0,Millions
263,2999960.0,2.0,Millions
264,3199905.0,4.0,Millions
265,4000000.0,3.0,Millions
266,4999985.0,1.0,Millions
267,1000000.0,8.0,Millions
268,6570585.0,17.0,Millions
269,1947360.0,13.0,Millions
270,1199800.0,3.0,Millions
271,2774930.0,14.0,Millions
272,4399640.0,10.0,Millions
273,1000000.0,4.0,Millions
274,1900000.0,4.0,Millions
275,1200000.0,3.0,Millions
276,2880000.0,7.0,Millions
277,2807744.9,10.0,Millions
278,2180000.0,1.0,Millions
279,2000000.0,1.0,Millions
280,2430085.0,17.0,Millions
281,1338290.0,1.0,Millions
282,1429569.43,3.0,Millions
283,1162250.0,2.0,Millions
284,4946890.0,12.0,Millions
285,7264230.0,15.0,Millions
286,17846310.19,41.0,Millions
287,3024874.91,12.0,Millions
288,48246445.62,48.0,Millions
289,3056232.66,1.0,Millions
290,10000000.0,1.0,Millions
291,1720942.4,1.0,Millions
292,1000000.0,1.0,Millions
293,1511980.0,1.0,Millions
294,5149975.15,6.0,Millions
295,2792000.0,6.0,Millions
296,1760000.0,1.0,Millions
297,1141505.36,4.0,Millions
298,1020000.0,5.0,Millions
299,5997500.0,5.0,Millions
300,2400000.0,14.0,Millions
301,1270184.0,9.0,Millions
302,1613760.86,7.0,Millions
303,4152900.0,12.0,Millions
304,8173377.6,1.0,Millions
305,2000000.0,1.0,Millions
306,1699995.0,2.0,Millions
307,1971182.94,2.0,Millions
308,6702360.44,3.0,Millions
309,3984860.56,3.0,Millions
310,1911816.62,12.0,Millions
311,3426847.29,94.0,Millions
312,1776624.0,3.0,Millions
313,1468740.8,83.0,Millions
314,1499450.0,1.0,Millions
315,1500000.0,2.0,Millions
316,2058500.0,26.0,Millions
317,6200888.0,2.0,Millions
318,4000000.0,3.0,Millions
319,4000000.0,2.0,Millions
320,4093000.0,14.0,Millions
321,10000000.0,1.0,Millions
322,10500000.0,1.0,Millions
323,4110584.56,4.0,Millions
324,1101600.0,1.0,Millions
325,1240300.0,1.0,Millions
326,1675278.0,1.0,Millions
327,2813235.7,1.0,Millions
328,1027900.0,1.0,Millions
329,4505593.05,1.0,Millions
330,4516000.0,1.0,Millions
331,4548883.33,2.0,Millions
332,10059737.07,2.0,Millions
333,50355813.51,1.0,Millions
334,2194000.0,5.0,Millions
335,2261000.0,3.0,Millions
336,1300000.0,3.0,Millions
337,2031110.0,4.0,Millions
338,2212262.18,27.0,Millions
339,1289625.0,9.0,Millions
340,2867110.0,7.0,Millions
341,14458410.0,7.0,Millions
342,3281263.43,1.0,Millions
343,10001000.0,2.0,Millions
344,5000000.0,1.0,Millions
345,12737640.4,4.0,Millions
346,6290000.0,2.0,Millions
347,21238336.96,4.0,Millions
348,13396000.0,1.0,Millions
349,25500000.0,7.0,Millions
350,3000000.0,3.0,Millions
351,3625024.99,8.0,Millions
352,500000000.0,1.0,Millions
353,4837379.55,3.0,Millions
354,14750000.0,1.0,Millions
355,15050000.0,1.0,Millions
356,51480192.38,22.0,Millions
357,1770000.0,4.0,Millions
358,3325140.44,3.0,Millions
359,3684950.0,4.0,Millions
360,4999531.63,1.0,Millions
361,7300000.0,2.0,Millions
362,1999850.0,2.0,Millions
363,13897597.69,20.0,Millions
364,5799925.0,5.0,Millions
365,6828425.1,3.0,Millions
366,7851873.04,10.0,Millions
367,8333573.61,15.0,Millions
368,10888677.27,56.0,Millions
369,12010000.0,2.0,Millions
370,15000000.0,1.0,Millions
371,5768131.0,4.0,Millions
372,3987992.0,3.0,Millions
373,1187539.98,4.0,Millions
374,1229998.0,5.0,Millions
375,1469544.0,3.0,Millions
376,1509800.0,6.0,Millions
377,1809795.0,7.0,Millions
378,2579894.0,9.0,Millions
379,3211928.0,12.0,Millions
380,3359932.0,8.0,Millions
381,3475920.0,9.0,Millions
382,20778045.0,1.0,Millions
383,1066850.0,6.0,Millions
384,1999887.04,3.0,Millions
385,3640000.0,2.0,Millions
386,3775000.0,3.0,Millions
